01,"Akanu Ibiam Federal Polytechnic Unwana, P.M.B 1007, Afikpo, Ebonyi State.",,"www.akanuibiampoly.edu.ng www.portal.akanuibiampoly.edu.ng",1981
02,"Auchi Polytechnic, Auchi, Edo State.",,www.auchipoly.edu.ng,1973
03,"Federal Polytechnic Ado Ekiti, Ekiti State.",,www.fedpolyado.edu.ng,1977
04,"Federal Polytechnic Bali, Taraba State.",,www.fedpobali.edu.ng,2007
05,"Federal Polytechnic Bauchi, P.M. B 231, Bauchi State.",,www.fptb.edu.ng,1979
06,"Federal Polytechnic Bida, P.M.B 55, Niger State.",,www.fedpolybida.edu.ng,1977
07,"Federal Polytechnic Damaturu, P.M.B 1006, Yobe State.",,www.fedpodam.edu.ng,1993
08,"Federal Polytechnic, Daura, Katsina State",," www.fedpolydaura.edu.ng
 ",2019
09,"Federal Polytechnic Ede, Osun State.",,www.federalpolyede.edu.ng,1992
10,"Federal Polytechnic Ekowe, Bayelsa State",,www.federalpolyekowe.edu.ng,2007
11,"Federal Polytechnic Idah P.M.B 1035, Kogi State.",,www.fepoda.edu.ng,1977
12,"Federal Polytechnic Ilaro, P.M.B 50, Ogun State.",,www.federalpolyilaro.edu.ng,1979
13,"Federal Polytechnic Ile-Oluji, Ondo State",,www.fedpolel.edu.ng,2016
14,"Federal Polytechnic Kaura Namoda, P.M.B, 1012, Zamfara State.",,www.fedpolykaura.edu.ng,1983
15,"Federal Polytechnic Kaltungo, Gombe State",,"https://fedpolyklt.edu.ng
 ",2019
16,"Federal Polytechnic Mubi, PMB 35 Mubi, Adamawa State.",,www.federalpolytechnicmubi.edu.ng,1979
17,"Federal Polytechnic Nasarawa, P.M.B. 01 Nasarawa State.",,www.fedpolynasarawa.edu.ng,1983
18,"Federal Polytechnic Nekede, P.M.B 1036, Owerri, Imo State.",,www.fpno.edu.ng,1977
19,"Federal Polytechnic Offa, P.M.B 420, Kwara State.",,www.fpo.edu.ng,1992
20,"Federal Polytechnic Oko, Anambra State.",,www.federalpolyoko.edu.ng,1982
21,"Federal Polytechnic of Oil and Gas Bonny, Rivers State",,www.fedpolybonny.edu.ng,2014
22,"Federal Polytechnic Ukana,
P.M.B 2014
Akwa Ibom State",,https://fedpolyukana.edu.ng,2014
23,"Hussaini Adamu Federal Polytechnic, P.M.B 5004, Kazaure Jigawa State.",,www.hafedpoly.edu.ng,1991
24,"Kaduna Polytechnic, Kaduna.",,www.kadunapoly.edu.ng,1956
25,National Institute of Construction Technology Uromi,,www.nict.edu.ng,2014
26,"Waziri Umaru Federal Polytechnic, P.M.B. 1034, Birnin Kebbi.",,www.wufpbk.edu.ng,1976
27,"Yaba College of Technology, P.M.B. 2011, Yaba, Lagos State.",,www.yabatech.edu.ng,1947
28,"Federal Polytechnic Ayede, Oyo State",,"https://federalpolyayede.edu.ng
 ",2021
29,"Federal Polytechnic Munguno, Borno State",, ,2021
30,"Federal Polytechnic N�yak, Shendam, Plateau State",, ,2021
31,"Federal Polytechnic Ohodo, Enugu State",, ,2021
32,"Federal Polytechnic Ugep, Cross Rivers State",,"https://fedpolyugep.edu.ng
 ",2021
33,"Federal Polytechnic Wannune, Benue State",, ,2021
34,"Federal Polytechnic Orogun, Delta State",,(Yet to take off),2022
35,"Federal Polytechnic Kabo, Kano State",, (Yet to take off),2022
36,"Federal Polytechnic Umunnoechi, Abia State",, (Yet to take off),2022
37,"Airforce Institute of Technology (AFIT),NAF Base Kaduna",,www.afit.edu.ng,1977
38,"Petroleum Training Institute Effurun
P.M.B 20, Effurun. Delta State",,www.pti.edu.ng,1972
39,Nigerian Army Institute of Technology and Environmental Science (NAITES) Makurdi,,www.naitesmkd.edu.ng,1960
40,"Nigerian College of Aviation Technology (NCAT), Sokoto Road, Zaria, Kaduna State
Email:
info@ncat.gov.ng
academics@ncat.gov.ng
Telephone:
+2347018741431
+2347015099833 (Academic Affairs)
+2347015099843 (Information Unit)",,www.ncat.gov.ng,1964
