1,"Abia State University, Uturu",Prof. Onyemachi M. Ogbulu,https://www.abiastateuniversity.edu.ng,1981
2,Adamawa State University Mubi,Prof (Mrs) Kaletapwa Farauta,https://www.adsu.edu.ng,2002
3,"Adekunle Ajasin University, Akungba",Prof. Olugbenga E. Ige,https://www.aaua.edu.ng,1999
4,"Akwa Ibom State University, Ikot Akpaden",Prof. Nse U. Essien,https://www.aksu.edu.ng,2010
5,"Ambrose Alli University, Ekpoma",Professor Sunny Adagbonyi,https://www.aauekpoma.edu.ng,1980
6,"Chukwuemeka Odumegwu Ojukwu University, Uli",Prof. Greg C. Nwakoby,https://coou.edu.ng/,2000
7,"Bauchi State University, Gadau",Prof. Auwalu Uba Adamu,https://www.basug.edu.ng,2011
8,"Benue State University, Makurdi",Prof. Joe Tor Iorapuu,https://www.bsum.edu.ng,1992
9,"Yobe State University, Damaturu",Prof. Mala M. Daura,https://www.ysu.edu.ng,2006
10,"Cross River State University of Technology, Calabar",Prof. Augustine Oko Angba,https://www.crutech.edu.ng,2004
11,Delta State University Abraka,Professor Andy Egwunyenga,https://www.delsu.edu.ng,1992
12,"Ebonyi State University, Abakaliki",Professor Chigozie N Ogbu,https://www.ebsu.edu.ng,2000
13,Ekiti State University,Prof. Edward O. Olanipekun,https://www.eksu.edu.ng,1982
14,"Enugu State University of Science and Technology, Enugu",Prof.Aloysius Michael Okolie,https://www.esut.edu.ng,1982
15,"Gombe State Univeristy, Gombe",Prof. Aliyu Usman El-Nafaty,https://www.gsu.edu.ng,2004
16,"Ibrahim Badamasi Babangida University, Lapai",Prof. Kasim Adamu,https://www.ibbu.edu.ng,2005
17,"Ignatius Ajuru University of Education,Rumuolumeni",Prof. Okechukwu Onochukwu,https://www.iaue.edu.ng,2010
18,"Imo State University, Owerri",Prof. U Chukwumaeze,https://www.imsu.edu.ng,1992
19,"Sule Lamido University, Kafin Hausa, Jigawa",Prof. Lawan Sani Taura,https://www.slu.edu.ng,2013
20,"Kaduna State University, Kaduna",Professor Muhammad Tanko,https://www.kasu.edu.ng,2004
21,"Kano University of Science & Technology, Wudil",Professor IShehu A Musa,https://www.kust.edu.ng,2000
22,"Kebbi State University of Science and Technology, Aliero",Prof. Bashar Ladan Aliero,https://www.ksusta.edu.ng,2006
23,Prince Abubakar Audu University Anyigba,Professor Marietu Ohunene Tenuche,https://www.ksu.edu.ng,1999
24,"Kwara State University, Ilorin",Professor Mohammed M Akanbi,https://www.kwasu.edu.ng,2009
25,"Ladoke Akintola University of Technology, Ogbomoso",Prof. Mojeed Olaide Liasu,https://www.lautech.edu.ng,1990
26,Ondo State University of Science and Technology Okitipupa,Prof. Temi Emmanuel Ologunorisa,https://www.osustech.edu.ng,2008
27,Rivers State University,Prof. Nlerum S. Okogbule,https://www.rsu.edu.ng,1979
28,"Olabisi Onabanjo University, Ago Iwoye",Prof Ayodeji Johnson Agboola,https://www.oouagoiwoye.edu.ng,1982
29,"Lagos State University, Ojo",Prof. Ibiyemi Olatunji-Bello,https://www.lasu.edu.ng,1983
30,Niger Delta University Yenagoa,Prof. Samuel Gowon Edoumiekumo,https://www.ndu.edu.ng,2000
31,Nasarawa State University Keffi,Prof. Suleiman Bala Mohammed,https://www.nsuk.edu.ng,2002
32,Plateau State University Bokkos,Prof. Yohana D. Izam,https://www.plasu.edu.ng,2005
33,Tai Solarin University of Education Ijebu Ode,Prof. Oluwole Sikiru Banjo,https://www.tasued.edu.ng,2005
34,Umar Musa Yar' Adua University Katsina,Prof. Sanusi Mamman,https://www.umyu.edu.ng,2006
35,Osun State University Osogbo,Prof Odunayo Clement Adeboye,https://www.uniosun.edu.ng,2006
36,"Taraba State University, Jalingo",Prof. Sunday Paul Bako,https://www.tsuniversity.edu.ng,2008
37,Sokoto State University,Prof. Bashiru Garba,https://www.ssu.edu.ng,2009
38,Yusuf Maitama Sule University Kano,Prof. Muktar Atiku Kurawa,https://www.nwu.edu.ng,2012
39,First Technical University Ibadan,Prof. Adesola Ajayi,https://tech-u.edu.ng/,2012
40,Ondo State University of Medical Sciences,Prof. Adesegun Fatusi,https://www.unimed.edu.ng,2015
41,Edo State University Uzairue,Prof. Emmanuel Aluyor (Ag),https://www.edouniversity.edu.ng/,2016
42,"Kingsley Ozumba Mbadiwe University Ogboko, Imo State",Prof. Ikechukwu N. S. Dozie,https://www.komu.edu.ng/,2016
43,"University of Africa Toru Orua, Bayelsa State",Prof. Kingston Nyamapfene,https://www.uat.edu.ng/public/,2016
44,"Bornu State University, Maiduguri",Prof. Umar Kyari Sandabe,,2016
45,Moshood Abiola University of Science and Technology Abeokuta,Prof Akinwale Coker,,2017
46,Gombe State University of Science and Technology,,,2017
47,Zamfara State University,Prof Yahaya Zakari Abdullahi,,2018
48,Bayelsa Medical University,Prof. Ebitimitula Nicholas Etebu,https://bmu.edu.ng/,2019
49,"University of Agriculture and Environmental Sciences Umuagwo, Imo State",Prof. Patrick E. Egbule,https://www.uaes.edu.ng/,2019
50,"Confluence University of Science and Technology Osara, Kogi",Prof. Salawu Sadiku,https://custech.edu.ng/,2020
51,"University of Delta, Agbor",Prof. Stells C. Chiemeke,https://unidel.edu.ng/,2021
52,"Delta University of Science and Technology, Ozoro",,https://dsust.edu.ng/,2021
53,"Dennis Osadebe University, Asaba",,https://www.dou.edu.ng/,2021
54,"Bamidele Olumilua University of Science and Technology Ikere, Ekiti State",Prof. Olufemi V Adeoluwa,https://bouesti.edu.ng/,2020
55,"Lagos State University of Education, Ijanikin",,,
56,Lagos State University of Science and Technology Ikorodu,,,
57,"Shehu Shagari University of Education, Sokoto",,,2022
58,"Enugu State University of Medical and Applied Sciences, Igbo-Eno",,,2022
59,"University of Ilesa, Osun State",,,2022
